direction,num_packets,total_bytes,min_pkt_size,max_pkt_size,mean_pkt_size,std_pkt_size,min_iat,max_iat,mean_iat,std_iat,dur,dport,sport,app
uplink,3,174.0,58.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,45036.0,indiatimes
uplink,2,136.0,68.0,68.0,68.0,0.0,0.0,0.0,0.0,,0.0,53.0,45225.0,indiatimes
uplink,2,136.0,68.0,68.0,68.0,0.0,0.0,0.0,0.0,,0.0,53.0,45378.0,indiatimes
uplink,8,480.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,45528.0,expresscouk
uplink,3,174.0,58.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,45540.0,indiatimes
uplink,10,600.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,45699.0,nypost
uplink,3,174.0,58.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,45986.0,indiatimes
uplink,6,378.0,63.0,63.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,46048.0,expresscouk
uplink,4,232.0,58.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,46153.0,indiatimes
uplink,6,378.0,63.0,63.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,46275.0,expresscouk
uplink,5,330.0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,46375.0,indiatimes
uplink,3,174.0,58.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,46603.0,indiatimes
uplink,7,392.0,56.0,56.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,46643.0,expresscouk
uplink,1,64.0,64.0,64.0,64.0,,,,,,0.0,53.0,46734.0,indiatimes
uplink,7,392.0,56.0,56.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,46860.0,expresscouk
uplink,7,392.0,56.0,56.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,47135.0,expresscouk
uplink,5,330.0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,47271.0,indiatimes
uplink,5,330.0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,47293.0,indiatimes
uplink,9,540.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,47337.0,nypost
uplink,7,392.0,56.0,56.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,47572.0,expresscouk
uplink,4,232.0,58.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,47619.0,indiatimes
uplink,3,174.0,58.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,47723.0,indiatimes
uplink,9,540.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,47760.0,nypost
uplink,7,392.0,56.0,56.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,48282.0,expresscouk
uplink,10,600.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,48309.0,nypost
uplink,2,136.0,68.0,68.0,68.0,0.0,0.0,0.0,0.0,,0.0,53.0,48321.0,indiatimes
uplink,1,64.0,64.0,64.0,64.0,,,,,,0.0,53.0,48627.0,indiatimes
uplink,6,378.0,63.0,63.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,49646.0,expresscouk
uplink,10,600.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,49713.0,nypost
uplink,8,480.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,49729.0,expresscouk
uplink,10,600.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,50041.0,nypost
uplink,6,378.0,63.0,63.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,50159.0,expresscouk
uplink,5,330.0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,50165.0,indiatimes
uplink,3,174.0,58.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,50328.0,indiatimes
uplink,10,600.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,50415.0,nypost
uplink,7,392.0,56.0,56.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,50457.0,expresscouk
uplink,10,600.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,50477.0,nypost
uplink,5,330.0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,50699.0,indiatimes
uplink,1,68.0,68.0,68.0,68.0,,,,,,0.0,53.0,50700.0,indiatimes
uplink,2,136.0,68.0,68.0,68.0,0.0,0.0,0.0,0.0,,0.0,53.0,50921.0,indiatimes
uplink,2,116.0,58.0,58.0,58.0,0.0,0.0,0.0,0.0,,0.0,53.0,51152.0,indiatimes
uplink,7,392.0,56.0,56.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,51273.0,expresscouk
uplink,6,378.0,63.0,63.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,51502.0,expresscouk
uplink,2,136.0,68.0,68.0,68.0,0.0,0.0,0.0,0.0,,0.0,53.0,51771.0,indiatimes
uplink,8,480.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,51802.0,expresscouk
uplink,5,330.0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,52147.0,indiatimes
uplink,2,136.0,68.0,68.0,68.0,0.0,0.0,0.0,0.0,,0.0,53.0,52504.0,indiatimes
uplink,7,392.0,56.0,56.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,52644.0,expresscouk
uplink,8,480.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,52667.0,expresscouk
uplink,3,174.0,58.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,52674.0,indiatimes
uplink,8,480.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,52806.0,expresscouk
uplink,6,378.0,63.0,63.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,52925.0,expresscouk
uplink,10,600.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,53005.0,nypost
uplink,10,600.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,53045.0,nypost
uplink,10,600.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,53309.0,nypost
uplink,4,232.0,58.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,53334.0,indiatimes
uplink,8,480.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,53498.0,expresscouk
uplink,4,232.0,58.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,53814.0,indiatimes
uplink,7,392.0,56.0,56.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,53831.0,expresscouk
uplink,4,232.0,58.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,53976.0,indiatimes
uplink,2,136.0,68.0,68.0,68.0,0.0,0.0,0.0,0.0,,0.0,53.0,54013.0,indiatimes
uplink,8,480.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,54042.0,expresscouk
uplink,8,480.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,54046.0,expresscouk
uplink,4,232.0,58.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,54058.0,indiatimes
uplink,1,64.0,64.0,64.0,64.0,,,,,,0.0,53.0,54190.0,indiatimes
uplink,6,378.0,63.0,63.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,54254.0,expresscouk
uplink,1,64.0,64.0,64.0,64.0,,,,,,0.0,53.0,54302.0,indiatimes
uplink,8,480.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,54315.0,expresscouk
uplink,8,480.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,54377.0,expresscouk
uplink,9,540.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,54574.0,nypost
