address_a,address_b,port_a,port_b,bytes,packets,start,duration,label,ip.proto,ip.len,frame.time
192.168.1.54,192.0.66.32,51936,443,78,1,2024-03-25 05:38:09.952369,0,nypost,6,64,2024-03-25 05:38:09.952369
192.0.66.32,192.168.1.54,443,51936,66,1,2024-03-25 05:38:09.960766,0,nypost,6,52,2024-03-25 05:38:09.960766
192.168.1.54,192.0.66.32,51936,443,54,1,2024-03-25 05:38:09.960933,0,nypost,6,40,2024-03-25 05:38:09.960933
192.168.1.54,192.0.66.32,51936,443,378,1,2024-03-25 05:38:09.961277,0,nypost,6,364,2024-03-25 05:38:09.961277
192.0.66.32,192.168.1.54,443,51936,60,1,2024-03-25 05:38:09.973621,0,nypost,6,40,2024-03-25 05:38:09.973621
192.0.66.32,192.168.1.54,443,51936,1514,1,2024-03-25 05:38:09.973635,0,nypost,6,1500,2024-03-25 05:38:09.973635
192.0.66.32,192.168.1.54,443,51936,1514,1,2024-03-25 05:38:09.973639,0,nypost,6,1500,2024-03-25 05:38:09.973639
192.0.66.32,192.168.1.54,443,51936,1230,1,2024-03-25 05:38:09.973643,0,nypost,6,1216,2024-03-25 05:38:09.973643
192.0.66.32,192.168.1.54,443,51936,87,1,2024-03-25 05:38:09.973647,0,nypost,6,73,2024-03-25 05:38:09.973647
192.168.1.54,192.0.66.32,51936,443,54,1,2024-03-25 05:38:09.973793,0,nypost,6,40,2024-03-25 05:38:09.973793
192.168.1.54,192.0.66.32,51936,443,54,1,2024-03-25 05:38:09.975575,0,nypost,6,40,2024-03-25 05:38:09.975575
192.168.1.54,192.0.66.32,51936,443,60,1,2024-03-25 05:38:09.975618,0,nypost,6,46,2024-03-25 05:38:09.975618
192.168.1.54,192.0.66.32,51936,443,112,1,2024-03-25 05:38:09.975691,0,nypost,6,98,2024-03-25 05:38:09.975691
192.168.1.54,192.0.66.32,51936,443,140,1,2024-03-25 05:38:09.975839,0,nypost,6,126,2024-03-25 05:38:09.975839
192.168.1.54,192.0.66.32,51936,443,116,1,2024-03-25 05:38:09.975933,0,nypost,6,102,2024-03-25 05:38:09.975933
192.0.66.32,192.168.1.54,443,51936,60,1,2024-03-25 05:38:09.982719,0,nypost,6,40,2024-03-25 05:38:09.982719
192.0.66.32,192.168.1.54,443,51936,325,1,2024-03-25 05:38:09.982722,0,nypost,6,311,2024-03-25 05:38:09.982722
192.0.66.32,192.168.1.54,443,51936,325,1,2024-03-25 05:38:09.982723,0,nypost,6,311,2024-03-25 05:38:09.982723
192.0.66.32,192.168.1.54,443,51936,125,1,2024-03-25 05:38:09.982725,0,nypost,6,111,2024-03-25 05:38:09.982725
192.0.66.32,192.168.1.54,443,51936,540,1,2024-03-25 05:38:09.982726,0,nypost,6,526,2024-03-25 05:38:09.982726
