ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,bytes,packets,start,duration,label,ip.proto,ip.len,frame.time
192.0.66.32,172.28.0.12,443,45574,,,66,1,2024-03-26 03:14:49.747858,0,nypost,6,52,2024-03-26 03:14:49.747858
172.28.0.12,192.0.66.32,45574,443,,,54,1,2024-03-26 03:14:49.747886,0,nypost,6,40,2024-03-26 03:14:49.747886
172.28.0.12,192.0.66.32,45574,443,,,571,1,2024-03-26 03:14:49.804980,0,nypost,6,557,2024-03-26 03:14:49.804980
192.0.66.32,172.28.0.12,443,45574,,,54,1,2024-03-26 03:14:49.820119,0,nypost,6,40,2024-03-26 03:14:49.820119
192.0.66.32,172.28.0.12,443,45574,,,2974,1,2024-03-26 03:14:49.821336,0,nypost,6,2960,2024-03-26 03:14:49.821336
172.28.0.12,192.0.66.32,45574,443,,,54,1,2024-03-26 03:14:49.821350,0,nypost,6,40,2024-03-26 03:14:49.821350
192.0.66.32,172.28.0.12,443,45574,,,1230,1,2024-03-26 03:14:49.821388,0,nypost,6,1216,2024-03-26 03:14:49.821388
172.28.0.12,192.0.66.32,45574,443,,,54,1,2024-03-26 03:14:49.821395,0,nypost,6,40,2024-03-26 03:14:49.821395
192.0.66.32,172.28.0.12,443,45574,,,103,1,2024-03-26 03:14:49.821429,0,nypost,6,89,2024-03-26 03:14:49.821429
172.28.0.12,192.0.66.32,45574,443,,,54,1,2024-03-26 03:14:49.821435,0,nypost,6,40,2024-03-26 03:14:49.821435
172.28.0.12,192.0.66.32,45574,443,,,134,1,2024-03-26 03:14:49.823614,0,nypost,6,120,2024-03-26 03:14:49.823614
172.28.0.12,192.0.66.32,45574,443,,,100,1,2024-03-26 03:14:49.823734,0,nypost,6,86,2024-03-26 03:14:49.823734
172.28.0.12,192.0.66.32,45574,443,,,103,1,2024-03-26 03:14:49.823752,0,nypost,6,89,2024-03-26 03:14:49.823752
172.28.0.12,192.0.66.32,45574,443,,,89,1,2024-03-26 03:14:49.823764,0,nypost,6,75,2024-03-26 03:14:49.823764
172.28.0.12,192.0.66.32,45574,443,,,116,1,2024-03-26 03:14:49.823793,0,nypost,6,102,2024-03-26 03:14:49.823793
192.0.66.32,172.28.0.12,443,45574,,,341,1,2024-03-26 03:14:49.838749,0,nypost,6,327,2024-03-26 03:14:49.838749
192.0.66.32,172.28.0.12,443,45574,,,341,1,2024-03-26 03:14:49.838792,0,nypost,6,327,2024-03-26 03:14:49.838792
192.0.66.32,172.28.0.12,443,45574,,,125,1,2024-03-26 03:14:49.838793,0,nypost,6,111,2024-03-26 03:14:49.838793
192.0.66.32,172.28.0.12,443,45574,,,54,1,2024-03-26 03:14:49.838827,0,nypost,6,40,2024-03-26 03:14:49.838827
172.28.0.12,192.0.66.32,45574,443,,,54,1,2024-03-26 03:14:49.838929,0,nypost,6,40,2024-03-26 03:14:49.838929
172.28.0.12,192.0.66.32,45574,443,,,85,1,2024-03-26 03:14:49.838960,0,nypost,6,71,2024-03-26 03:14:49.838960
192.0.66.32,172.28.0.12,443,45574,,,541,1,2024-03-26 03:14:49.839109,0,nypost,6,527,2024-03-26 03:14:49.839109
172.28.0.12,192.0.66.32,45574,443,,,78,1,2024-03-26 03:14:49.839265,0,nypost,6,64,2024-03-26 03:14:49.839265
172.28.0.12,192.0.66.32,45574,443,,,54,1,2024-03-26 03:14:49.840061,0,nypost,6,40,2024-03-26 03:14:49.840061
192.0.66.32,172.28.0.12,443,45574,,,54,1,2024-03-26 03:14:49.854306,0,nypost,6,40,2024-03-26 03:14:49.854306
192.0.66.32,172.28.0.12,443,45574,,,54,1,2024-03-26 03:14:49.854397,0,nypost,6,40,2024-03-26 03:14:49.854397
172.28.0.12,192.0.66.32,45574,443,,,54,1,2024-03-26 03:14:49.854405,0,nypost,6,40,2024-03-26 03:14:49.854405
192.0.66.32,172.28.0.12,443,45574,,,54,1,2024-03-26 03:14:49.855083,0,nypost,6,40,2024-03-26 03:14:49.855083
172.28.0.12,169.254.169.254,,,56635,53,74,1,2024-03-26 03:14:50.851380,0,nypost,17,60,2024-03-26 03:14:50.851380
172.28.0.12,169.254.169.254,,,59812,53,74,1,2024-03-26 03:14:50.851380,0,nypost,17,60,2024-03-26 03:14:50.851380
169.254.169.254,172.28.0.12,,,53,59812,90,1,2024-03-26 03:14:50.851995,0,nypost,17,76,2024-03-26 03:14:50.851995
169.254.169.254,172.28.0.12,,,53,56635,158,1,2024-03-26 03:14:50.852049,0,nypost,17,144,2024-03-26 03:14:50.852049
172.28.0.12,192.0.66.32,45586,443,,,74,1,2024-03-26 03:14:50.852303,0,nypost,6,60,2024-03-26 03:14:50.852303
192.0.66.32,172.28.0.12,443,45586,,,66,1,2024-03-26 03:14:50.867036,0,nypost,6,52,2024-03-26 03:14:50.867036
172.28.0.12,192.0.66.32,45586,443,,,54,1,2024-03-26 03:14:50.867058,0,nypost,6,40,2024-03-26 03:14:50.867058
